UID       PID PPID  C STIME TTY          TIME CMD
root       48    2  0 05:44 ?        00:00:00 [kiomond]
root       49    2  0 05:44 ?        00:00:00 [kauditd]
root       50    2  0 05:44 ?        00:00:20 [printk]
root       52    2  0 05:44 ?        00:00:00 [oom_reaper]
root       53    2  0 05:44 ?        00:00:00 [kworker/R-writeback]
root       54    2  0 05:44 ?        00:00:00 [kcompactd0]
root       55    2  0 05:44 ?        00:00:16 [ksmd]
root       56    2  0 05:44 ?        00:00:00 [kworker/R-kblockd]
root       57    2  0 05:44 ?        00:00:00 [kworker/R-md]
root       58    2  0 05:44 ?        00:00:00 [kworker/R-md_bitmap]
root       59    2  0 05:44 ?        00:00:02 [kworker/u29:0-pmu_monitor_wq]
root       64    2  0 05:44 ?        00:00:00 [kworker/R-sdhci]
root       65    2  0 05:44 ?        00:00:00 [irq/35-mmc0]
root       66    2  0 05:44 ?        00:00:00 [kworker/R-nvt_clkgate_wq]
root       71    2  0 05:44 ?        00:00:00 [kworker/1:1H]
root       73    2  0 05:44 ?        00:00:00 [kdtvlogd]
root       74    2  0 05:44 ?        00:00:00 [kworker/R-trace_contention_worker
root       75    2  0 05:44 ?        00:00:00 [kworker/R-contention_store_wq]
root       76    2  0 05:44 ?        00:00:00 [kswapd0]
root       77    2  0 05:44 ?        00:00:00 [erofs_worker/0]
root       78    2  0 05:44 ?        00:00:00 [erofs_worker/1]
root       79    2  0 05:44 ?        00:00:00 [erofs_worker/2]
root       80    2  0 05:44 ?        00:00:00 [erofs_worker/3]
root       81    2  0 05:44 ?        00:00:00 [kworker/R-sim_watchdog]
root       82    2  0 05:44 ?        00:00:00 [kworker/R-kthrotld]
root       83    2  0 05:44 ?        00:00:03 [softirq_mon]
root       84    2  0 05:44 ?        00:00:00 [kworker/R-fd0f0c28.tsensor]
root       86    2  2 05:44 ?        00:18:15 [zram_bgrecompd]
root       87    2  0 05:44 ?        00:00:02 [memnotify]
root       88    2  0 05:44 ?        00:00:00 [kworker/R-Eth_readTrim]
root       89    2  0 05:44 ?        00:00:00 [kworker/R-Eth_plugDetect]
root       90    2  0 05:44 ?        00:00:00 [kworker/R-Eth_reset_mac]
root       91    2  0 05:44 ?        00:00:00 [rc0]
root       92    2  0 05:44 ?        00:00:00 [rc1]
root       93    2  0 05:44 ?        00:00:00 [kworker/R-dm_bufio_cache]
root       94    2  0 05:44 ?        00:00:00 [kworker/R-mmc_complete]
root       97    2  0 05:44 ?        00:00:00 [mmc_trace_vlog]
root       98    2  0 05:44 ?        00:00:00 [kworker/2:1H]
root       99    2  0 05:44 ?        00:00:00 [kworker/R-mld]
root      100    2  0 05:44 ?        00:00:00 [kworker/R-ipv6_addrconf]
root      101    2  0 05:44 ?        00:00:00 [kworker/u24:1+dvb_core_wq]
root      102    2  0 05:44 ?        00:00:00 [kworker/R-vd_time_occupy_workqueu
root      104    2  0 05:44 ?        00:00:00 [kworker/0:1H]
root      108    2  0 05:44 ?        00:00:00 [kworker/3:1H]
root      192    2  0 05:44 ?        00:01:30 [vlog_task]
root      193    1  0 05:44 ?        00:00:01 /prd/usr/bin/kfactoryd
cynara    206    1  0 05:44 ?        00:00:23 /usr/bin/cynara
buxton    212    1  0 05:44 ?        00:00:04 /prd/usr/bin/buxton2d_lite -f
buxton    213    1  0 05:44 ?        00:00:25 /usr/sbin/buxton2d -f
root      243    1 17 05:44 ?        02:15:09 /usr/bin/enlightenment
root      249    1  0 05:44 ?        00:00:00 /usr/bin/fconfigd -d
root      252    2  0 05:44 ?        00:00:00 [menu]
root      253    1  0 05:44 ?        00:00:00 /bin/sh /usr/bin/launchpad-process
root      259    2  0 05:44 ?        00:00:00 [_NerveTask_]
root      261    2  0 05:44 ?        00:00:00 [_NerveMTask_]
root      262    2  0 05:44 ?        00:00:00 [_NVTAsyncTask_]
root      263    2  0 05:44 ?        00:00:00 [_NVTAsyncTask_]
root      264    2  0 05:44 ?        00:00:00 [_NVTAsyncTask_]
root      266    2  0 05:44 ?        00:00:00 [_NVTAsyncTask_]
root      267    2  0 05:44 ?        00:00:00 [_NVTAsyncTask_]
root      268    1  0 05:44 ?        00:01:08 /usr/apps/boot-helper-dyboost-tv/b
owner     280  253  0 05:44 ?        00:00:00 /usr/bin/ServiceJ
root      281    2  0 05:44 ?        00:01:40 [DRV_DBG_UART]
root      282    2  0 05:44 ?        00:00:00 [DRV_STBC_CALLBACK_TASK]
root      284    2  0 05:44 ?        00:00:01 [irq/49-ntkMsgBox]
root      287    2  0 05:44 ?        00:00:00 [MLBX_TEST_Thread]
root      294    2  0 05:44 ?        00:00:00 [tztv_mc_debug_print]
securit+  295    1  0 05:44 ?        00:00:00 /usr/bin/security-manager
root      303    2  0 05:44 ?        00:00:09 [kthread_watchdog]
root      331    2  0 05:44 ?        00:00:00 [kworker/R-free_pages_workq]
root      334    2  0 05:44 ?        00:03:33 [tzdev-tee-threads]
root      341    2  0 05:44 ?        00:00:00 [nsrpc:0]
root      345    2  0 05:44 ?        00:00:00 [nsrpc:1]
root      346    2  0 05:44 ?        00:00:00 [kworker/R-kbase_job_fault_resume_
root      347    2  0 05:44 ?        00:00:00 [nsrpc:2]
root      349    2  0 05:44 ?        00:00:00 [nsrpcwatchdog]
root      353    2  0 05:44 ?        00:00:01 [tzlogd]
root      354    2  0 05:44 ?        00:00:00 [teedrv_watch]
root      363    2  0 17:59 ?        00:00:00 [kworker/u25:1-events_unbound]
root      366    1  0 05:44 ?        00:00:00 /bin/bash /usr/bin/vd-pkginfo-serv
root      370    2  0 05:44 ?        00:00:00 [hdmi_vlog_thread]
app_fw    373  366  0 05:44 ?        00:00:01 /usr/bin/pkginfo-server
root      380    2  0 05:44 ?        00:00:00 [HDCP22_PROC]
root      381    2  0 05:44 ?        00:00:00 [_MEM_HandleDmem]
root      388    2  0 05:44 ?        00:00:01 [dspMonitor]
root      389    2  0 05:44 ?        00:00:00 [HDMI_EvtThread]
root      395    2  0 05:44 ?        00:00:00 [_SPDIF_OclTrigger]
root      400    2  0 05:44 ?        00:00:00 [cube_event0]
root      401    2  0 05:44 ?        00:02:32 [DRV_VD]
root      409    2  0 05:44 ?        00:00:00 [cube_event1]
root      410    2  0 05:44 ?        00:00:00 [_APUTask_]
root      415    2  0 17:59 ?        00:00:00 [kworker/u26:4-events_unbound]
root      417    2  0 05:44 ?        00:00:19 [TSD_TASK]
root      418    2  0 05:44 ?        00:00:00 [DEMUX_TASK]
root      422    2  0 05:44 ?        00:00:00 [irq/82-frc_leon2_irq]
root      423    2  1 05:44 ?        00:11:32 [PQ_MPFW_TASK]
root      424    2  0 05:44 ?        00:00:46 [PQ_SHELL_DBG_TASK]
root      425    2  0 05:44 ?        00:00:00 [kworker/R-dvb_core_wq]
root      426    2  0 05:44 ?        00:00:00 [DEMUX_FEED_TASK]
root      427    2  0 05:44 ?        00:00:48 [ATSC30_CB_TASK]
root      428    2  0 05:44 ?        00:00:08 [KER_CI_timer]
root      432    2  0 05:44 ?        00:00:09 [kdvb-ca-0:0]
root      433    2  0 05:44 ?        00:01:24 [CHK5V_NDP_HDMI]
owner     449  280 40 05:44 ?        05:12:42 /opt/usr/apps/AppD/
owner     450  280  0 05:44 ?        00:05:30 /usr/bin/ServiceE     0         
root      478    2  0 05:44 ?        00:00:00 [CLK_DET_NDP_HDMI]
root      479    2  0 05:44 ?        00:00:31 [DRV_TVADC]
root      480    2  0 05:44 ?        00:03:22 [SCLR_DP0]
root      481    2  0 05:44 ?        00:00:00 [kworker/u24:2-ipv6_addrconf]
root      483    2  0 05:44 ?        00:00:22 [VRR_ST_NDP_HDMI]
root      486    2  0 05:44 ?        00:00:24 [_VPL_SRC_KADC]
root      487    2  0 05:44 ?        00:00:37 [SCLR_IP0]
root      489    2  0 05:44 ?        00:00:00 [SCLR_SHL_Scale0]
root      491    2  0 05:44 ?        00:00:28 [SCLR_IP1]
root      493    2  0 05:44 ?        00:00:33 [SRC_ModeTask]
root      494    2  0 05:44 ?        00:00:00 [SCLR_SHL_Scale1]
root      495    2  0 05:44 ?        00:01:20 [DRV_VBI]
root      496    2  0 05:44 ?        00:01:12 [VPL_SCLR_CTRL_MONITOR]
root      497    2  0 05:44 ?        00:00:22 [SRC_MonitorTask]
root      499    2  0 05:44 ?        00:00:00 [SCLR_SHL_Scale2]
root      500    2  0 05:44 ?        00:00:00 [VPL_SRC_MODE_EVENT_TASK]
root      501    2  0 05:44 ?        00:00:00 [card0-crtc0]
root      502    2  0 05:44 ?        00:00:00 [PLAT_VC_UPDATE_TASK]
root      503    2  0 05:44 ?        00:00:00 [SCLR_SHL_Scale3]
root      504    2  0 05:44 ?        00:00:00 [card0-crtc1]
root      506    2  0 05:44 ?        00:00:10 [eArcTask]
root      507    2  0 05:44 ?        00:00:00 [PLAT_VC_UPDATE_TASK]
root      508    2  0 05:44 ?        00:00:00 [SCLR_SHL_Scale4]
root      509    2  0 05:44 ?        00:00:49 [SCLR_SHL_Bio]
root      557    2  0 05:44 ?        00:00:00 [kworker/R-kbase_event]
owner     583  576  0 05:44 ?        00:00:00 /usr/bin/zone-init
root      588    2  0 05:44 ?        00:00:00 [kworker/R-cfg80211]
owner     591  280  0 05:44 ?        00:00:26 /usr/apps/AppY/bin/
root      634    2  0 16:38 ?        00:00:01 [kworker/3:1-events]
owner     638    1  0 05:44 ?        00:00:00 /usr/bin/resource-center
root      639    1  0 05:44 ?        00:00:00 /usr/bin/rscmgr-service
root      641    1  0 05:44 ?        00:00:04 /usr/bin/tvs-lite
app_fw    647    1  0 05:44 ?        00:00:05 /usr/bin/ServiceV
root      657    1  0 05:44 ?        00:06:17 /usr/bin/ServiceC
owner     658    1  0 05:44 ?        00:01:39 /opt/usr/apps/com.samsung.tv.pisa-
root      659    2  0 05:44 ?        00:00:00 [kworker/u29:1-nvt_clkgate_wq]
root      678    1  0 05:44 ?        00:00:03 /usr/bin/tvctx-manager /etc/tvctx-
root      683    1  0 05:44 ?        00:00:21 /usr/bin/bt-service
owner     684    1  0 05:44 ?        00:00:14 /opt/usr/apps/com.samsung.tv.slive
owner     692  280  0 05:44 ?        00:00:21 /usr/apps/org.tizen.volume-app/bin
root      694    1  4 05:44 ?        00:35:00 /usr/bin/avocd -d
owner     769    1  0 05:44 ?        00:01:09 /usr/bin/common-daemon-basic-monit
owner     771    1  0 05:44 ?        00:00:07 /usr/bin/connectivity-common-daemo
owner     782  280  0 05:44 ?        00:00:00 /usr/bin/app-defined-loader     0 
owner     783  280  0 05:44 ?        00:00:02 /usr/bin/launchpad-loader     0   
owner     785  280  0 05:44 ?        00:01:13 /usr/apps/AppS/bin/org.t
root      818    2  0 05:44 ?        00:00:00 [kworker/R-kbase_event]
root      947    1  0 05:44 ?        00:00:15 /usr/sbin/connmand --nodnsproxy --
root      948    2  0 05:44 ?        00:00:00 [kworker/R-kbase_event]
root      980    2  0 05:44 ?        00:00:00 [kworker/R-kbase_event]
root     1015    1  0 05:44 ?        00:05:34 /usr/bin/deviced
owner    1016  280  0 05:44 ?        00:06:17 /opt/usr/apps/com.samsung.tv.home.
root     1028    1  0 05:44 ?        00:00:22 /usr/sbin/launcher-security
root     1041    1  0 05:44 ?        00:00:13 /usr/sbin/net-config
root     1046    1  0 05:44 ?        00:00:02 /usr/bin/TIFSDaemon
root     1049    1  0 05:44 ?        00:02:05 /usr/bin/ServiceO
root     1050    1  0 05:44 ?        00:00:14 /usr/bin/tzdaemon
owner    1051    1  0 05:44 ?        00:05:04 /opt/usr/apps/com.samsung.tv.slive
owner    1053    1  0 05:44 ?        00:00:00 /usr/bin/speaker-manager
app_fw   1060    1  0 05:44 ?        00:00:13 /usr/bin/tizen-watcherd
root     1068    1  0 05:44 ?        00:00:30 /usr/sbin/vd-net-config
root     1070    1  0 05:44 ?        00:00:00 /usr/sbin/wpa_supplicant -u -t -dd
root     1114    1  0 05:44 ?        00:00:08 /bin/bash /usr/bin/pm_monitor.sh 3
root     1207    1  0 05:44 ?        00:00:00 /usr/lib/systemd/systemd-udevd --r
root     1208    1  0 05:44 ?        00:00:00 /usr/bin/TAgentD
owner    1211    1  0 05:44 ?        00:00:06 /usr/bin/securestorage-server
root     1212    2  0 05:44 ?        00:00:00 [kworker/R-kbase_event]
owner    1213    1  0 05:44 ?        00:00:08 /usr/bin/psa-init
owner    1230  280  0 05:44 ?        00:00:11 /usr/apps/com.samsung.tv.home-serv
owner    1252  280  0 05:44 ?        00:00:45 /opt/usr/apps/org.tizen.ssoservice
root     1295    2  0 05:44 ?        00:00:00 [kworker/R-kbase_event]
owner    1335    1  0 05:44 ?        00:00:00 /usr/lib/systemd/systemd --user
root     1343    1  0 05:44 ?        00:00:00 /usr/bin/wfd-manager
owner    1355    1  0 05:44 ?        00:00:02 /usr/bin/p2p-asm
pulse    1370    1  0 05:44 ?        00:00:05 /usr/bin/pulseaudio
root     1428    2  0 07:37 ?        00:00:08 [kworker/1:0-trace_contention_work
app_fw   1442    1  0 05:44 ?        00:00:04 /usr/bin/esd
root     1466    2  0 05:44 ?        00:00:08 [smdl_daemon]
root     1479    1  0 05:44 ?        00:00:00 /usr/bin/eventd
securit+ 1483    1  0 05:44 ?        00:00:00 /usr/bin/license-manager-agent
root     1487    1  0 05:44 ?        00:01:57 /usr/bin/ServiceN
owner    1488    1  0 05:44 ?        00:00:00 /usr/bin/isf
owner    1563    1  0 05:44 ?        00:00:01 /usr/bin/allshare-svc
owner    1578    1  0 05:44 ?        00:00:05 /usr/bin/app-control-service
sdk      1589    1  0 07:40 ?        00:00:11 /usr/sbin/sdbd
root     1604    1  0 05:44 ?        00:00:28 /usr/bin/bt-monitor
owner    1616  280  0 05:44 ?        00:00:17 /opt/usr/apps/com.samsung.tv.conte
owner    1654    1  0 05:44 ?        00:00:01 /usr/bin/contents-recognition-serv
root     1669    1  1 05:44 ?        00:07:53 /bin/issue_report_agent
owner    1672    1  0 05:44 ?        00:00:00 /usr/bin/aisctrlmgr_server -s org.
root     1708    2  0 18:03 ?        00:00:01 [kworker/2:2-events]
owner    1715  280  0 05:44 ?        00:00:15 /opt/usr/apps/com.samsung.tv.ghdae
owner    1727    1  0 05:44 ?        00:00:00 /opt/usr/apps/org.tizen.dseal/bin/
owner    1754    1  0 05:44 ?        00:00:00 /usr/bin/register-device
root     1755    2  0 18:04 ?        00:00:00 [kworker/1:1R-mmc_complete]
owner    1757    1  0 05:44 ?        00:00:03 /usr/bin/ServiceP
owner    1759    1  6 05:44 ?        00:47:28 /usr/bin/source-service
root     1760    1  0 05:44 ttyS0    00:00:00 /usr/bin/vddebugmenu
root     1761    1  0 05:44 ?        00:00:00 /usr/bin/was_background_update
root     1826    2  0 05:44 ?        00:00:00 [ecryptfs-kthread]
root     1860    2  0 13:52 ?        00:00:00 [kworker/0:0R-kblockd]
root     1895    2  0 18:07 ?        00:00:00 [kworker/u28:2-events_unbound]
root     1919    2  0 18:08 ?        00:00:14 [kworker/u30:3-mali_jd]
root     1945    2  0 09:18 ?        00:00:00 [kworker/R-kbase_event]
root     1959    2  0 09:18 ?        00:00:00 [kworker/R-kbase_event]
owner    1975  280  0 09:18 ?        00:00:02 /usr/bin/ServiceH     0      
owner    2031    1  0 05:44 ?        00:00:01 /opt/usr/apps/com.samsung.tv.conte
root     2224    2  0 17:06 ?        00:00:02 [kworker/0:1-rcu_gp]
key-man+ 2247    1  0 05:44 ?        00:00:01 /usr/bin/ServiceS
owner    2307    1  0 05:44 ?        00:00:00 /usr/bin/aifw-data-managerd
owner    2345  280  0 05:44 ?        00:00:12 /usr/apps/com.samsung.tv.cis-api-s
root     2387    2  0 18:20 ?        00:00:00 [kworker/2:0-events]
root     2396    2  0 18:20 ?        00:00:00 [kworker/u33:1-kbase_pm_shader_pow
owner    2397    1  0 05:44 ?        00:00:00 /usr/bin/sesd
owner    2398  280  0 05:44 ?        00:00:46 /opt/usr/apps/org.tizen.easysetup-
root     2400    2  0 18:20 ?        00:00:00 [kworker/u26:0-events_unbound]
owner    2416    1  0 05:44 ?        00:00:02 /opt/usr/apps/com.samsung.tv.pisa-
root     2421    2  0 18:21 ?        00:00:00 [kworker/u32:2-kbase_pm_shader_pow
owner    2423  280  0 05:44 ?        00:01:18 /opt/usr/apps/com.samsung.tizen.sm
service+ 2426    1  0 05:44 ?        00:00:01 /usr/bin/pushd
root     2447    2  0 18:21 ?        00:00:00 [kworker/3:0]
root     2494    1  0 05:44 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener]
owner    2497    1  0 05:44 ?        00:00:00 /usr/sbin/user-presence
root     2520    2  0 18:23 ?        00:00:00 [kworker/u27:1-events_unbound]
owner    2523    1  0 05:44 ?        00:05:31 /usr/bin/fw-update-service
root     2536    2  0 18:23 ?        00:00:00 [kworker/u31:1-kbase_pm_shader_pow
root     2570    2  0 18:24 ?        00:00:00 [kworker/1:1]
root     2612    2  0 18:26 ?        00:00:00 [kworker/u32:1-kbase_pm_shader_pow
root     2622    2  0 18:26 ?        00:00:01 [kworker/u33:0-kbase_pm_shader_pow
root     2630    2  0 05:45 ?        00:00:00 [kworker/R-kbase_event]
root     2659    2  0 18:27 ?        00:00:02 [kworker/u30:0-mali_jd]
root     2668    1  0 05:45 ?        00:00:36 /usr/bin/ServiceR
owner    2686  280 26 05:45 ?        03:23:23 /usr/apps/com.samsung.tv.glscreens
owner    2749    1  0 05:45 ?        00:00:00 /usr/apps/global-notif-service/bin
owner    2750    1  0 05:45 ?        00:00:03 /usr/apps/org.tizen.webappservice/
owner    2751    1  0 05:45 ?        00:00:04 /usr/apps/org.tizen.webserver/bin/
owner    2752    1  0 05:45 ?        00:00:02 /usr/apps/pvod-appfw/bin/pvodservi
owner    2754    1  0 05:45 ?        00:00:01 /usr/bin/remote-server
owner    2756    1  0 05:45 ?        00:00:09 /usr/bin/msf-server
root     2793    2  0 18:30 ?        00:00:00 [kworker/u27:2-events_unbound]
root     2807    2  0 18:31 ?        00:00:00 [kworker/u31:2]
root     2831    2  0 18:31 ?        00:00:00 [kworker/0:2-events]
root     2892    2  0 18:32 ?        00:00:02 [kworker/u30:1-kbase_pm_poweroff_w
root     2938    2  0 18:33 ?        00:00:00 [kworker/u32:0-kbase_pm_shader_pow
root     2971    2  0 18:35 ?        00:00:00 [kworker/u26:1-events_unbound]
root     2993 1760  0 05:45 ttyS0    00:00:00 sh
root     2999    2  0 18:35 ?        00:00:00 [kworker/u33:2]
root     3010    2  0 18:36 ?        00:00:00 [kworker/2:1-events_freezable]
root     3015    2  0 18:36 ?        00:00:00 [kworker/u27:3-events_unbound]
root     3033 1114  0 18:36 ?        00:00:00 sleep 5
root     3049    2  0 18:36 ?        00:00:00 [kworker/u25:0-events_unbound]
root     3062    2  0 18:36 ?        00:00:00 [kworker/u26:2-events_unbound]
root     3072    2  0 18:36 ?        00:00:00 [kworker/u27:4-events_unbound]
root     3132    2  0 12:52 ?        00:00:00 [kworker/3:0R-kblockd]
root     3154    1 99 18:36 pts/0    00:00:00 /bin/sh -c LC_ALL=C ps -ef;r=$?;ec
root     3156 3154  0 18:36 pts/0    00:00:00 ps -ef
root     3354    2  0 17:37 ?        00:00:00 [kworker/u25:2-events_unbound]
root     3482    2  0 11:33 ?        00:00:05 [kworker/u24:3-Eth_plugDetect]
root     3492    2  0 17:42 ?        00:00:27 [kworker/u30:2-mali_jd]
root     3521    2  0 17:43 ?        00:00:00 [kworker/u27:0-events_unbound]
root     3627    2  0 17:45 ?        00:00:00 [kworker/2:1R]
root     3671    2  0 17:46 ?        00:00:00 [kworker/u25:3-events_unbound]
root     3696    2  0 17:46 ?        00:00:00 [kworker/u28:0-flush-179:0]
owner    3727    1  0 05:47 ?        00:00:03 /usr/bin/SWUAutoUpgrade
root     3862    2  0 05:48 ?        00:00:00 [psimon]
root     3867    2  0 17:51 ?        00:00:00 [kworker/1:2R-mmc_complete]
root     3942    2  0 17:54 ?        00:00:00 [kworker/0:1R]
root     3944    2  0 17:54 ?        00:00:00 [kworker/2:2R-kblockd]
root     3945    2  0 17:54 ?        00:00:00 [kworker/3:1R]
root     3960    2  0 17:54 ?        00:00:00 [kworker/u28:1-events_unbound]

RC=0
DONE
